return-date	order-id	sku	asin	fnsku	product-name	quantity	fulfillment-center-id	detailed-disposition	reason	status
2014-12-14T05:11:39+00:00	107-9546770-2661856	TRU-041014-135-TINKERBELL.PLUSH.BLANKET	B0064VELD6	B0064VELD6	Disney TinkerBell Pixieland Plush Blanket 30 x 45 inches	1	LEX2	SELLABLE	FOUND_BETTER_PRICE	Unit returned to inventory
2014-12-13T05:52:55+00:00	109-3968272-0081823	I4-HYI4-Q6JT	B00NP4LKWK	X000OOS3XJ	BBTS Shared Exclusive Leader Class Grimlock & Optimus Prime Two Pack Platinum Edition	1	LEX2	SELLABLE	SWITCHEROO	Unit returned to inventory
2014-12-12T12:35:45+00:00	102-2970284-1663465	73-GIFE-PXWF	B00D6N8V18	X000OSYHDP	Spy Gear - Ultimate Night Vision	1	LEX2	CUSTOMER_DAMAGED	UNWANTED_ITEM	Unit returned to inventory
2014-12-11T19:42:21+00:00	110-1591459-9887428	2H-L8V5-4AR8	B00LK0N5II	X000OQI7LP	FurReal Friends Baby Cuddles My Giggly Monkey Pet Plush	1	LEX2	SELLABLE	NOT_AS_DESCRIBED	Unit returned to inventory
2014-12-11T18:11:53+00:00	116-4438133-2353037	I4-HYI4-Q6JT	B00NP4LKWK	X000OOS3XJ	BBTS Shared Exclusive Leader Class Grimlock & Optimus Prime Two Pack Platinum Edition	1	LEX2	SELLABLE	SWITCHEROO	Unit returned to inventory
2014-12-08T17:56:12+00:00	104-4811424-9565829	ROSES-090714-1500-BUZZBEE.MECH20TOMMY	B000F5YYMU	X000NFZI0Z	Ruff Stuff Air Blasters Motorized Mech Tommy 20 Dart Blaster	1	CVG2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2014-12-08T17:56:12+00:00	104-4811424-9565829	ROSES-090714-1500-BUZZBEE.MECH20TOMMY	B000F5YYMU	X000NFZI0Z	Ruff Stuff Air Blasters Motorized Mech Tommy 20 Dart Blaster	1	CVG2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2014-12-06T15:29:02+00:00	103-7732344-0727453	KM-062414-1249-BARBIE.SAFARI.TENT	B00EY26UHM	X000M7LUHJ	Barbie Sisters Safari Doll and Tent Playset	1	LEX2	CUSTOMER_DAMAGED	UNWANTED_ITEM	Unit returned to inventory
2014-12-05T12:26:02+00:00	111-9949576-1147453	TRU-071514-1699-ELSA.BABY.DOLL	B00JRGW28Q	X000MK398J	Disney Frozen Deluxe Elsa Baby Doll	1	LEX2	SELLABLE	SWITCHEROO	Unit returned to inventory
2014-12-04T18:06:25+00:00	106-4384115-6419432	9G-QVTM-SJOZ	B00JYD592I	X000OGZ3TT	Daniel Tiger's Neighborhood Goodnight Daniel and Tige-y Musical Toy	1	LAS2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
2014-12-04T12:34:15+00:00	115-0313171-1630672	13-GSP5-HRBP	B00FW2WSQU	X000OKTCRT	CAT Bump & Go Machines Dump Truck	1	LEX2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
2014-12-03T23:52:00+00:00	105-2915796-4593850	I4-HYI4-Q6JT	B00NP4LKWK	X000OOS3XJ	BBTS Shared Exclusive Leader Class Grimlock & Optimus Prime Two Pack Platinum Edition	1	LEX2	SELLABLE	SWITCHEROO	Unit returned to inventory
2014-12-03T16:04:11+00:00	108-2981144-8953807	TGT-073114-268-N.THOMAS.PZL.FATE	B00BGYPSII	X000MWM5U5	Nene Thomas: Fate 750 Piece Puzzle	1	LEX2	DAMAGED	SWITCHEROO	Reimbursed
2014-12-01T09:51:38+00:00	111-7901713-0293824	KM-090914-2280-KIDCAMERAPINK	B004WNITDG	X000NH1HXZ	Fisher-Price Kid-Tough Digital Camera, Pink	1	LEX2	DEFECTIVE	MISORDERED	Unit returned to inventory
2014-11-25T14:48:44+00:00	116-1352663-6182633	L-TRU-080114-999-LM.SEBASTIAN.BEAN.PLUSH	B00C5B1QGY	X000MTWJD1	Disney Little Mermaid Beans Sebastian Plush	1	LEX2	SELLABLE	UNDELIVERABLE_INSUFFICIENT_ADDRESS	Unit returned to inventory
2014-11-25T09:23:25+00:00	114-0528790-3801035	SEARS-051314-997-ROASTER&amp;RACK.SMALL	B0030GF48E	B0030GF48E	Basic Essentials 13 Inch Stainless Steel Roaster with Rack	1	LEX2	CARRIER_DAMAGED	UNDELIVERABLE_UNKNOWN	Reimbursed
