approval-date	reimbursement-id	case-id	amazon-order-id	reason	sku	fnsku	asin	product-name	condition	currency-unit	amount-per-unit	amount-total	quantity-reimbursed-cash	quantity-reimbursed-inventory	quantity-reimbursed-total	original-reimbursement-id	original-reimbursement-type
2014-03-02T18:07:47+00:00	111866531			Damaged_Warehouse	TRU-122813-78-PONYROYALBEACHFASHION	X000JMDMG9	B008MOF26S	Pony Royale Prance Along the Beach Mix-It-Up Fashions - Blue and Purple	NewItem	USD	3.34	6.68	2	0	2		
2014-02-19T18:09:45+00:00	108674261			Damaged_Warehouse	OLL-020114-1499-PLAYDOHCREATIONSCADDY	B00376VWXS	B00376VWXS	Play-Doh Creations Caddy	NewItem	USD	34.47	34.47	1	0	1		
2014-02-11T13:51:07+00:00	106118871			Lost_Warehouse	tgt-112913-MR-1125-BM	B0088LNF0K	B0088LNF0K	Mega Bloks First Builders Deluxe Building Bag 160-Piece	NewItem	USD	24.67	123.35	5	0	5		
2014-01-30T10:02:59+00:00	103128191		114-2533596-9726668	CustomerReturn	WG-120313-466-BarbieMkupKit	B005YDP3NW	B005YDP3NW	Barbie Make-up Kit	NewItem	USD	9.13	9.13	1	0	1		
2014-01-26T11:10:20+00:00	101912801		002-4807946-3530667	CustomerReturn	KM-011614-425-DINOTRAINROCKET	B007LL7N5G	B007LL7N5G	Dinosaur Train Rocket Train 3-Car Train with Lights and Sounds	NewItem	USD	14.00	14.00	1	0	1		
2014-01-22T14:58:20+00:00	100261911	155005591	111-7044668-0348201	CustomerServiceIssue						USD		111.68					
2014-01-21T05:51:37+00:00	99688191		111-3159493-1469825	CustomerReturn	tgt-112913-MR-1125-BM	B0088LNF0K	B0088LNF0K	Mega Bloks First Builders Deluxe Building Bag 160-Piece	NewItem	USD	23.57	23.57	1	0	1		
2013-12-23T18:14:52+00:00	87235651			Damaged_Warehouse	WG-120313-466-BM-littlePeopleTractorCow	X000J3A7MP	B000R34UIS	Fisher-Price Little People Sonya Lee with Tractor and Cow Set	NewItem	USD	18.76	18.76	1	0	1		
2013-12-19T08:58:46+00:00	86971751	139826561		Lost_Inbound	tgt-112913-CN-1000-BM	B001JQLJMC	B001JQLJMC	Fisher-Price Doodle Pro Classic Orange	NewItem	USD	19.27	19.27	1	0	1		
2013-12-18T03:12:40+00:00	86529841	138458371		Lost_Inbound	tgt-112913-MR-1125-BM	B0088LNF0K	B0088LNF0K	Mega Bloks First Builders Deluxe Building Bag	NewItem	USD	23.32	23.32	1	0	1		
2013-12-18T03:12:40+00:00	86529841	138458371		Lost_Inbound	RA-120813-1999-FP-Step-On-Keyboard	B00FPOJ016	B00FPOJ016	Fisher-Price Step-On Keyboard	NewItem	USD	35.43	35.43	1	0	1		
2013-12-18T03:12:40+00:00	86529841	138458371		Lost_Inbound	Tgt-120713-2999-DisPrincessandMeRapunzel	B00A8MBE0U	B00A8MBE0U	Disney Princess and Me Jewel Edition - Rapunzel	NewItem	USD	66.41	66.41	1	0	1		
2013-12-17T05:36:59+00:00	86267111		105-4301399-7051433	CustomerReturn	Khl-111613-1679-BM	B00A3KHF2I	B00A3KHF2I	Tonka Retro Classic Steel Quarry Dump Truck Vehicle	NewItem	USD	30.58	30.58	1	0	1		
2013-12-16T18:16:34+00:00	84866191			Damaged_Warehouse	WG-120313-466-BM-littlePeopleTractorCow	X000J3A7MP	B000R34UIS	Fisher-Price Little People Sonya Lee with Tractor and Cow Set	NewItem	USD	17.72	17.72	1	0	1		
2013-12-09T18:14:45+00:00	82730451			Damaged_Warehouse	00046	B00E955HKA	B00E955HKA	Roku 3 Streaming Player with Motion Remote	NewItem	USD	125.41	125.41	1	0	1		
2013-12-09T16:22:07+00:00	83821771	134777211		Lost_Inbound	Khl-111613-391-BM	B00FEME7MG	B00FEME7MG	Hot Wheels Monster Jam Obsessed with Edge Glow - Includes Crushable Car - 1/64 Scale	NewItem	USD	12.73	12.73	1	0	1		
2013-12-09T16:19:57+00:00	83821531	134776291		Lost_Inbound	00038	B005TKVFUK	B005TKVFUK	Nerf N-Strike Reflex IX 2-Pack #37019	NewItem	USD	16.98	16.98	1	0	1		
2013-11-29T16:39:34+00:00	81130231		108-9752611-7829848	CustomerReturn	000010	B00768BE18	B00768BE18	Lenovo Wireless Headset for PC and Mac, W770B (0B65782)	NewItem	USD	19.11	19.11	1	0	1		
2013-11-29T07:21:50+00:00	80917321		103-9098011-0293845	CustomerReturn	000010	B00768BE18	B00768BE18	Lenovo Wireless Headset for PC and Mac, W770B (0B65782)	NewItem	USD	19.11	19.11	1	0	1		
2013-11-21T22:40:59+00:00	79183811	129246771		Lost_Inbound	00029	B004IVP9UI	B004IVP9UI	Disney Princess Magical Star Wand - ARIEL	NewItem	USD	8.10	8.10	1	0	1		
2013-11-21T22:40:59+00:00	79183811	129246771		Lost_Inbound	00020	B00805TJGS	B00805TJGS	MEEP! Android Kids Tablet	NewItem	USD	132.20	132.20	1	0	1		
2013-11-21T22:20:15+00:00	79179481	129246171		Lost_Inbound	00020	B00805TJGS	B00805TJGS	MEEP! Android Kids Tablet	NewItem	USD	132.20	132.20	1	0	1		
